constellation,average_competence,average_relative_competence,average_accuracy,count,population,sample,options,iteration,total_iterations
majority,0.6905514415008172,0.5358271622512257,0.76,200,999,3,3,54,1000
minority,0.5860166009305977,0.3790249013958965,0.18,200,999,3,3,54,1000
consensus,0.7226068583745958,0.5839102875618937,0.9896907216494846,97,999,3,3,55,1000
dissensus,0.586448297654796,0.379672446482194,0.3333333333333333,32,999,3,3,55,1000
majority,0.6766959487531317,0.5150439231296974,0.7156862745098039,204,999,3,3,55,1000
minority,0.5925130854745767,0.388769628211865,0.23039215686274508,204,999,3,3,55,1000
consensus,0.7080085410872907,0.5620128116309361,0.9272727272727272,110,999,3,3,56,1000
dissensus,0.6397809550091196,0.4596714325136794,0.3333333333333333,29,999,3,3,56,1000
majority,0.6996100736382702,0.5494151104574054,0.7835051546391752,194,999,3,3,56,1000
minority,0.5980271243056622,0.3970406864584933,0.17525773195876287,194,999,3,3,56,1000
consensus,0.6995358876382105,0.54930383145731565,0.97,100,999,3,3,57,1000
dissensus,0.5928641051674883,0.3892961577512324,0.3333333333333333,40,999,3,3,57,1000
majority,0.6814564383984423,0.5221846575976634,0.7668393782383419,193,999,3,3,57,1000
minority,0.5929433075077382,0.38941496126160724,0.20207253886010362,193,999,3,3,57,1000
consensus,0.717644858920791,0.5764672883811864,0.9690721649484536,97,999,3,3,58,1000
dissensus,0.594751956104301,0.3921279341564514,0.3333333333333333,40,999,3,3,58,1000
majority,0.6911686268998596,0.5367529403497894,0.8010204081632653,196,999,3,3,58,1000
minority,0.5864838392055612,0.3797257588083419,0.15816326530612246,196,999,3,3,58,1000
consensus,0.7087109492732135,0.5630664239098202,0.9696969696969697,99,999,3,3,59,1000
dissensus,0.6169599998437347,0.42543999976560215,0.3333333333333333,38,999,3,3,59,1000
majority,0.6755286869363302,0.5132930304044954,0.7193877551020408,196,999,3,3,59,1000
minority,0.587586057255184,0.38137908588277597,0.2193877551020408,196,999,3,3,59,1000
consensus,0.7070074859106292,0.5605112288659438,0.97,100,999,3,3,60,1000
dissensus,0.6289443861986739,0.44341657929801087,0.3333333333333333,43,999,3,3,60,1000
majority,0.6806312352663985,0.5209468528995977,0.7631578947368421,190,999,3,3,60,1000
minority,0.6000473612796907,0.40007104191953613,0.2,190,999,3,3,60,1000
consensus,0.7339889637736017,0.6009834456604026,0.9797979797979798,99,999,3,3,61,1000
dissensus,0.601066564633741,0.40159984695061146,0.3333333333333333,36,999,3,3,61,1000
majority,0.6679772383863458,0.5019658575795186,0.7070707070707071,198,999,3,3,61,1000
minority,0.5800252359600343,0.3700378539400514,0.26262626262626265,198,999,3,3,61,1000
consensus,0.7221935826990022,0.5832903740485035,0.9787234042553191,94,999,3,3,62,1000
dissensus,0.6324295573511426,0.44864433602671383,0.3333333333333333,45,999,3,3,62,1000
majority,0.6804116840379896,0.5206175260569843,0.7577319587628866,194,999,3,3,62,1000
minority,0.5879913326976917,0.38198699904653755,0.18556701030927836,194,999,3,3,62,1000
consensus,0.7119688391557281,0.567953258733592,0.9823008849557522,113,999,3,3,63,1000
dissensus,0.6015701426197617,0.40235521392964263,0.3333333333333333,23,999,3,3,63,1000
majority,0.6857501511495914,0.528625226724387,0.7309644670050761,197,999,3,3,63,1000
minority,0.5940025211430066,0.3910037817145098,0.2436548223350254,197,999,3,3,63,1000
consensus,0.7108000880863096,0.5662001321294644,0.9705882352941176,102,999,3,3,64,1000
dissensus,0.6016244964629008,0.40243674469435126,0.3333333333333333,39,999,3,3,64,1000
majority,0.676128558441835,0.5141928376627524,0.7083333333333334,192,999,3,3,64,1000
minority,0.614563216882137,0.42184482532320544,0.22916666666666666,192,999,3,3,64,1000
consensus,0.709126508823798,0.563689763235697,0.9523809523809523,105,999,3,3,65,1000
dissensus,0.632152685106789,0.44822902766018347,0.3333333333333333,49,999,3,3,65,1000
majority,0.6899121193288092,0.5348681789932138,0.7430167597765364,179,999,3,3,65,1000
minority,0.6116507102855008,0.41747606542825116,0.22346368715083798,179,999,3,3,65,1000
consensus,0.7138529140052755,0.5707793710079132,0.9595959595959596,99,999,3,3,66,1000
dissensus,0.6081312566508984,0.4121968849763476,0.3333333333333333,37,999,3,3,66,1000
majority,0.6955190254245331,0.5432785381367998,0.7563451776649747,197,999,3,3,66,1000
minority,0.5945231789492966,0.3917847684239449,0.20304568527918782,197,999,3,3,66,1000
consensus,0.7219395216282087,0.582909282442313,0.9578947368421052,95,999,3,3,67,1000
dissensus,0.6134225420507433,0.420133813076115,0.3333333333333333,41,999,3,3,67,1000
majority,0.6839609884132211,0.5259414826198315,0.7766497461928934,197,999,3,3,67,1000
minority,0.595243689559192,0.3928655343387882,0.19796954314720813,197,999,3,3,67,1000
consensus,0.7208607594689561,0.5812911392034342,0.9827586206896551,116,999,3,3,68,1000
dissensus,0.625250247947406,0.43787537192110904,0.3333333333333333,32,999,3,3,68,1000
majority,0.681014470156987,0.5215217052354805,0.7513513513513513,185,999,3,3,68,1000
minority,0.5967013831703446,0.39505207475551685,0.1945945945945946,185,999,3,3,68,1000
consensus,0.7223982383078478,0.5835973574617717,0.9819819819819819,111,999,3,3,69,1000
dissensus,0.6389380968596218,0.4584071452894326,0.3333333333333333,32,999,3,3,69,1000
majority,0.6687203960313478,0.5030805940470218,0.7473684210526316,190,999,3,3,69,1000
minority,0.5910769091224658,0.38661536368369864,0.19473684210526315,190,999,3,3,69,1000
consensus,0.7327805508535147,0.599170826280272,0.979381443298969,97,999,3,3,70,1000
dissensus,0.632988113705796,0.449482170558694,0.3333333333333333,37,999,3,3,70,1000
majority,0.6693079370222955,0.5039619055334432,0.7437185929648241,199,999,3,3,70,1000
minority,0.590998048027525,0.3864970720412874,0.21105527638190955,199,999,3,3,70,1000
consensus,0.7198897410247439,0.5798346115371159,0.970873786407767,103,999,3,3,71,1000
dissensus,0.6101367973670777,0.4152051960506166,0.3333333333333333,38,999,3,3,71,1000
majority,0.6480395926066397,0.47205938890995947,0.7239583333333334,192,999,3,3,71,1000
minority,0.5784338804870559,0.36765082073058397,0.203125,192,999,3,3,71,1000
consensus,0.7359880992608984,0.6039821488913476,0.968421052631579,95,999,3,3,72,1000
dissensus,0.612923500053714,0.4193852500805709,0.3333333333333333,32,999,3,3,72,1000
majority,0.669251530522761,0.5038772957841414,0.7718446601941747,206,999,3,3,72,1000
minority,0.5942742692278005,0.39141140384170076,0.16019417475728157,206,999,3,3,72,1000
consensus,0.7098572836382948,0.5647859254574422,0.9797979797979798,99,999,3,3,73,1000
dissensus,0.6186426023619507,0.42796390354292607,0.3333333333333333,41,999,3,3,73,1000
majority,0.6800491978106329,0.5200737967159493,0.8134715025906736,193,999,3,3,73,1000
minority,0.5783119260627835,0.36746788909417516,0.15025906735751296,193,999,3,3,73,1000
consensus,0.7119654194898625,0.5679481292347938,0.9615384615384616,104,999,3,3,74,1000
dissensus,0.6321816982972062,0.44827254744580924,0.3333333333333333,39,999,3,3,74,1000
majority,0.6945590600947311,0.5418385901420967,0.7789473684210526,190,999,3,3,74,1000
minority,0.5896569719211313,0.3844854578816969,0.1631578947368421,190,999,3,3,74,1000
consensus,0.7076618075464014,0.5614927113196021,0.972972972972973,111,999,3,3,75,1000
dissensus,0.6014838129304713,0.40222571939570695,0.3333333333333333,41,999,3,3,75,1000
majority,0.6907328297306902,0.5360992445960353,0.8176795580110497,181,999,3,3,75,1000
minority,0.5882897810748063,0.3824346716122095,0.143646408839779,181,999,3,3,75,1000
consensus,0.7271786399501545,0.5907679599252318,0.9789473684210527,95,999,3,3,76,1000
dissensus,0.5786788734243549,0.3680183101365323,0.3333333333333333,31,999,3,3,76,1000
majority,0.686532522795419,0.5297987841931284,0.7922705314009661,207,999,3,3,76,1000
minority,0.5774350630947286,0.3661525946420928,0.16908212560386474,207,999,3,3,76,1000
consensus,0.7062792517921842,0.5594188776882763,0.9680851063829787,94,999,3,3,77,1000
dissensus,0.6322362650821488,0.44835439762322327,0.3333333333333333,28,999,3,3,77,1000
majority,0.6891995644598529,0.5337993466897794,0.7725118483412322,211,999,3,3,77,1000
minority,0.60824924722052,0.4123738708307799,0.1848341232227488,211,999,3,3,77,1000
consensus,0.7112563167161252,0.5668844750741878,0.9354838709677419,93,999,3,3,78,1000
dissensus,0.6193711017465426,0.4290566526198139,0.3333333333333333,35,999,3,3,78,1000
majority,0.6582808038670328,0.48742120580054915,0.7219512195121951,205,999,3,3,78,1000
minority,0.599443637862105,0.39916545679315746,0.23414634146341465,205,999,3,3,78,1000
consensus,0.7064993489048187,0.559749023357228,0.9574468085106383,94,999,3,3,79,1000
dissensus,0.6358106626999668,0.4537159940499502,0.3333333333333333,40,999,3,3,79,1000
majority,0.671277888219061,0.5069168323285916,0.7336683417085427,199,999,3,3,79,1000
minority,0.6025198521724336,0.4037797782586504,0.22613065326633167,199,999,3,3,79,1000
consensus,0.7151747440470154,0.5727621160705232,0.979381443298969,97,999,3,3,80,1000
dissensus,0.6229596055574461,0.43443940833616906,0.3333333333333333,39,999,3,3,80,1000
majority,0.7022008269559592,0.5533012404339388,0.7715736040609137,197,999,3,3,80,1000
minority,0.5818260322709438,0.3727390484064156,0.14720812182741116,197,999,3,3,80,1000
